condition,vowel,replication,chain_gen,F1_target,F2_target,F3_target,F4_target,F5_target,HX_target,HY_target,JA_target,LP_target,LD_target,TCX_target,TCY_target,TTX_target,TTY_target,TBX_target,TBY_target,hyoidX_target,hyoidY_target,svtvMinX_target,svtvMinY_target,svtvMaxX_target,svtvMaxY_target,svthMinX_target,svthMinY_target,svthMaxX_target,svthMaxY_target,F1_alt,F2_alt,F3_alt,F4_alt,F5_alt,HX_alt,HY_alt,JA_alt,LP_alt,LD_alt,TCX_alt,TCY_alt,TTX_alt,TTY_alt,TBX_alt,TBY_alt,hyoidX_alt,hyoidY_alt,svtvMinX_alt,svtvMinY_alt,svtvMaxX_alt,svtvMaxY_alt,svthMinX_alt,svthMinY_alt,svthMaxX_alt,svthMaxY_alt,F1_elite,F2_elite,F3_elite,F4_elite,F5_elite,HX_elite,HY_elite,JA_elite,LP_elite,LD_elite,TCX_elite,TCY_elite,TTX_elite,TTY_elite,TBX_elite,TBY_elite,hyoidX_elite,hyoidY_elite,svtvMinX_elite,svtvMinY_elite,svtvMaxX_elite,svtvMaxY_elite,svthMinX_elite,svthMinY_elite,svthMaxX_elite,svthMaxY_elite,generation
larynx_1,a,0,0,6.5874,8.3396,15.11,15.9114,18.0338,0.1337,-4.7463,-6.7285,0.2247,2.475,-0.7719,-2.527,2.1703,-2.1572,1.0102,-1.2829,-1.2091,-4.7463,-1.5963,-7.9464,0,1.085,-2.6234,-0.575,5,0,5.9582,8.0824,13.6484,15.2094,18.0023,0.1337,-4.7463,-6.7285,0.2247,2.475,-0.7719,-2.527,2.1703,-2.1572,1.0102,-1.2829,-1.2091,-4.7463,-1.6378,-9.4464,0,1.085,-2.6234,-0.575,5,0,6.0999,8.6023,13.6327,15.4912,17.9818,0.0032,-5.6889,-5.6204,-0.4525,2.417,-0.8518,-2.9985,3.7675,-1.1841,-0.8518,-0.4515,-1.5373,-5.6889,-1.7703,-10.3889,0,1.085,-2.6234,-0.575,5,0,499
larynx_1,a,1,0,6.5874,8.3396,15.11,15.9114,18.0338,0.1337,-4.7463,-6.7285,0.2247,2.475,-0.7719,-2.527,2.1703,-2.1572,1.0102,-1.2829,-1.2091,-4.7463,-1.5963,-7.9464,0,1.085,-2.6234,-0.575,5,0,5.9582,8.0824,13.6484,15.2094,18.0023,0.1337,-4.7463,-6.7285,0.2247,2.475,-0.7719,-2.527,2.1703,-2.1572,1.0102,-1.2829,-1.2091,-4.7463,-1.6378,-9.4464,0,1.085,-2.6234,-0.575,5,0,6.2664,8.4354,13.6075,15.7519,17.827,0.0005,-5.7581,-5.6534,-0.4724,2.8783,-0.8284,-2.9993,3.5611,-1.3088,0.2412,-1.522,-1.5511,-5.7581,-1.78,-10.4581,0,1.085,-2.6234,-0.575,5,0,458
larynx_1,a,10,0,6.5874,8.3396,15.11,15.9114,18.0338,0.1337,-4.7463,-6.7285,0.2247,2.475,-0.7719,-2.527,2.1703,-2.1572,1.0102,-1.2829,-1.2091,-4.7463,-1.5963,-7.9464,0,1.085,-2.6234,-0.575,5,0,5.9582,8.0824,13.6484,15.2094,18.0023,0.1337,-4.7463,-6.7285,0.2247,2.475,-0.7719,-2.527,2.1703,-2.1572,1.0102,-1.2829,-1.2091,-4.7463,-1.6378,-9.4464,0,1.085,-2.6234,-0.575,5,0,6.2684,8.5453,13.7496,15.7047,17.986,0,-5.0016,-6.5189,-0.702,2.4595,-0.5599,-2.9964,3.7952,-1.392,3.42,-0.337,-1.4455,-5.0016,-1.6737,-9.7016,0,1.085,-2.6234,-0.575,5,0,477
larynx_1,a,11,0,6.5874,8.3396,15.11,15.9114,18.0338,0.1337,-4.7463,-6.7285,0.2247,2.475,-0.7719,-2.527,2.1703,-2.1572,1.0102,-1.2829,-1.2091,-4.7463,-1.5963,-7.9464,0,1.085,-2.6234,-0.575,5,0,5.9582,8.0824,13.6484,15.2094,18.0023,0.1337,-4.7463,-6.7285,0.2247,2.475,-0.7719,-2.527,2.1703,-2.1572,1.0102,-1.2829,-1.2091,-4.7463,-1.6378,-9.4464,0,1.085,-2.6234,-0.575,5,0,6.121,8.451,13.5302,15.4009,17.9658,0.0018,-5.36,-5.5378,-0.381,3.9318,-0.8361,-2.9954,4.906,-1.0933,-0.8361,-0.4484,-1.4933,-5.36,-1.7241,-10.06,0,1.085,-2.6234,-0.575,5,0,379
larynx_1,a,12,0,6.5874,8.3396,15.11,15.9114,18.0338,0.1337,-4.7463,-6.7285,0.2247,2.475,-0.7719,-2.527,2.1703,-2.1572,1.0102,-1.2829,-1.2091,-4.7463,-1.5963,-7.9464,0,1.085,-2.6234,-0.575,5,0,5.9582,8.0824,13.6484,15.2094,18.0023,0.1337,-4.7463,-6.7285,0.2247,2.475,-0.7719,-2.527,2.1703,-2.1572,1.0102,-1.2829,-1.2091,-4.7463,-1.6378,-9.4464,0,1.085,-2.6234,-0.575,5,0,6.3631,8.4678,13.7364,15.5846,17.9431,0.0003,-5.0021,-6.3526,-0.7763,2.0806,-0.6052,-2.9949,3.5061,-1.0489,0.3286,-1.2601,-1.4451,-5.0021,-1.6738,-9.7021,0,1.085,-2.6234,-0.575,5,0,322
larynx_1,a,13,0,6.5874,8.3396,15.11,15.9114,18.0338,0.1337,-4.7463,-6.7285,0.2247,2.475,-0.7719,-2.527,2.1703,-2.1572,1.0102,-1.2829,-1.2091,-4.7463,-1.5963,-7.9464,0,1.085,-2.6234,-0.575,5,0,5.9582,8.0824,13.6484,15.2094,18.0023,0.1337,-4.7463,-6.7285,0.2247,2.475,-0.7719,-2.527,2.1703,-2.1572,1.0102,-1.2829,-1.2091,-4.7463,-1.6378,-9.4464,0,1.085,-2.6234,-0.575,5,0,6.2686,8.3885,13.6051,15.6772,17.8935,0.0023,-5.7637,-6.3615,-0.2959,2.7405,-0.8438,-2.9983,4.2461,-2.8419,0.4809,-1.776,-1.5492,-5.7637,-1.7808,-10.4637,0,1.085,-2.6234,-0.575,5,0,478
larynx_1,a,14,0,6.5874,8.3396,15.11,15.9114,18.0338,0.1337,-4.7463,-6.7285,0.2247,2.475,-0.7719,-2.527,2.1703,-2.1572,1.0102,-1.2829,-1.2091,-4.7463,-1.5963,-7.9464,0,1.085,-2.6234,-0.575,5,0,5.9582,8.0824,13.6484,15.2094,18.0023,0.1337,-4.7463,-6.7285,0.2247,2.475,-0.7719,-2.527,2.1703,-2.1572,1.0102,-1.2829,-1.2091,-4.7463,-1.6378,-9.4464,0,1.085,-2.6234,-0.575,5,0,6.2638,8.5191,13.7018,15.2176,18.0333,0.0001,-5.001,-6.8904,-0.4328,2.2468,-0.5291,-2.9982,5.4405,-0.7088,-0.5291,-0.4512,-1.4453,-5.001,-1.6736,-9.701,0,1.085,-2.6234,-0.575,5,0,489
larynx_1,a,15,0,6.5874,8.3396,15.11,15.9114,18.0338,0.1337,-4.7463,-6.7285,0.2247,2.475,-0.7719,-2.527,2.1703,-2.1572,1.0102,-1.2829,-1.2091,-4.7463,-1.5963,-7.9464,0,1.085,-2.6234,-0.575,5,0,5.9582,8.0824,13.6484,15.2094,18.0023,0.1337,-4.7463,-6.7285,0.2247,2.475,-0.7719,-2.527,2.1703,-2.1572,1.0102,-1.2829,-1.2091,-4.7463,-1.6378,-9.4464,0,1.085,-2.6234,-0.575,5,0,6.345,8.4784,13.606,15.6779,17.8652,0,-5.7554,-6.8228,-0.2464,3.8166,-0.8291,-2.9999,4.2485,-2.7719,0.358,-1.6399,-1.5514,-5.7554,-1.7796,-10.4554,0,1.085,-2.6234,-0.575,5,0,453
larynx_1,a,16,0,6.5874,8.3396,15.11,15.9114,18.0338,0.1337,-4.7463,-6.7285,0.2247,2.475,-0.7719,-2.527,2.1703,-2.1572,1.0102,-1.2829,-1.2091,-4.7463,-1.5963,-7.9464,0,1.085,-2.6234,-0.575,5,0,5.9582,8.0824,13.6484,15.2094,18.0023,0.1337,-4.7463,-6.7285,0.2247,2.475,-0.7719,-2.527,2.1703,-2.1572,1.0102,-1.2829,-1.2091,-4.7463,-1.6378,-9.4464,0,1.085,-2.6234,-0.575,5,0,6.3349,8.5087,13.7402,15.6388,18.0455,0.0022,-5.0013,-6.4969,-0.5982,2.3042,-0.5862,-2.9963,3.7925,-1.3525,3.7539,-0.6765,-1.4422,-5.0013,-1.6737,-9.7013,0,1.085,-2.6234,-0.575,5,0,344
larynx_1,a,17,0,6.5874,8.3396,15.11,15.9114,18.0338,0.1337,-4.7463,-6.7285,0.2247,2.475,-0.7719,-2.527,2.1703,-2.1572,1.0102,-1.2829,-1.2091,-4.7463,-1.5963,-7.9464,0,1.085,-2.6234,-0.575,5,0,5.9582,8.0824,13.6484,15.2094,18.0023,0.1337,-4.7463,-6.7285,0.2247,2.475,-0.7719,-2.527,2.1703,-2.1572,1.0102,-1.2829,-1.2091,-4.7463,-1.6378,-9.4464,0,1.085,-2.6234,-0.575,5,0,6.3372,8.4745,13.7347,15.4945,17.9387,0.0025,-5.0002,-6.4747,-0.4153,2.6588,-0.5264,-2.9983,4.9568,-1.9406,3.2433,-0.7663,-1.4416,-5.0002,-1.6735,-9.7002,0,1.085,-2.6234,-0.575,5,0,389
larynx_1,a,18,0,6.5874,8.3396,15.11,15.9114,18.0338,0.1337,-4.7463,-6.7285,0.2247,2.475,-0.7719,-2.527,2.1703,-2.1572,1.0102,-1.2829,-1.2091,-4.7463,-1.5963,-7.9464,0,1.085,-2.6234,-0.575,5,0,5.9582,8.0824,13.6484,15.2094,18.0023,0.1337,-4.7463,-6.7285,0.2247,2.475,-0.7719,-2.527,2.1703,-2.1572,1.0102,-1.2829,-1.2091,-4.7463,-1.6378,-9.4464,0,1.085,-2.6234,-0.575,5,0,6.2948,8.426,13.6064,15.671,17.8486,0.0009,-5.7821,-5.6246,-0.4583,3.0828,-0.8273,-2.9955,3.5245,-1.3794,1.7703,-1.9356,-1.5539,-5.7821,-1.7834,-10.4821,0,1.085,-2.6234,-0.575,5,0,398
larynx_1,a,19,0,6.5874,8.3396,15.11,15.9114,18.0338,0.1337,-4.7463,-6.7285,0.2247,2.475,-0.7719,-2.527,2.1703,-2.1572,1.0102,-1.2829,-1.2091,-4.7463,-1.5963,-7.9464,0,1.085,-2.6234,-0.575,5,0,5.9582,8.0824,13.6484,15.2094,18.0023,0.1337,-4.7463,-6.7285,0.2247,2.475,-0.7719,-2.527,2.1703,-2.1572,1.0102,-1.2829,-1.2091,-4.7463,-1.6378,-9.4464,0,1.085,-2.6234,-0.575,5,0,6.3266,8.4393,13.6028,15.6582,17.8473,0.0031,-5.7263,-6.4948,-0.2081,3.3341,-0.8169,-2.9961,4.4856,-2.8078,0.5805,-1.6412,-1.5428,-5.7263,-1.7756,-10.4263,0,1.085,-2.6234,-0.575,5,0,235
larynx_1,a,2,0,6.5874,8.3396,15.11,15.9114,18.0338,0.1337,-4.7463,-6.7285,0.2247,2.475,-0.7719,-2.527,2.1703,-2.1572,1.0102,-1.2829,-1.2091,-4.7463,-1.5963,-7.9464,0,1.085,-2.6234,-0.575,5,0,5.9582,8.0824,13.6484,15.2094,18.0023,0.1337,-4.7463,-6.7285,0.2247,2.475,-0.7719,-2.527,2.1703,-2.1572,1.0102,-1.2829,-1.2091,-4.7463,-1.6378,-9.4464,0,1.085,-2.6234,-0.575,5,0,6.3398,8.4528,13.6045,15.6402,17.8444,0.0042,-5.7377,-6.4905,-0.2687,3.4247,-0.8238,-2.9971,4.6465,-2.7579,1.0184,-1.7491,-1.5427,-5.7377,-1.7772,-10.4377,0,1.085,-2.6234,-0.575,5,0,469
larynx_1,a,20,0,6.5874,8.3396,15.11,15.9114,18.0338,0.1337,-4.7463,-6.7285,0.2247,2.475,-0.7719,-2.527,2.1703,-2.1572,1.0102,-1.2829,-1.2091,-4.7463,-1.5963,-7.9464,0,1.085,-2.6234,-0.575,5,0,5.9582,8.0824,13.6484,15.2094,18.0023,0.1337,-4.7463,-6.7285,0.2247,2.475,-0.7719,-2.527,2.1703,-2.1572,1.0102,-1.2829,-1.2091,-4.7463,-1.6378,-9.4464,0,1.085,-2.6234,-0.575,5,0,6.311,8.3932,13.5967,15.4789,17.8951,0.0011,-5.7655,-6.2619,-0.2391,1.9144,-0.8551,-2.9988,2.402,-2.871,0.3545,-1.6614,-1.5512,-5.7655,-1.7811,-10.4655,0,1.085,-2.6234,-0.575,5,0,377
